Euler Implicito Punto C4.txt
SOLUCION PARA EULER IMPLICITO 
Paso = 1.00
Año: 1
U0 = 1.260000  T = 0.0  MES = 1.0
U99 = 2.338792  T = 99.00  MES = 4.00 Iteraciones hechas con Newton Raphson: 3
U100 = 2.247725  T = 100.00  MES = 5.00 Iteraciones hechas con Newton Raphson: 3
U101 = 2.170567  T = 101.00  MES = 6.00 Iteraciones hechas con Newton Raphson: 3
U102 = 3.605967  T = 102.00  MES = 7.00 Iteraciones hechas con Newton Raphson: 3
U103 = 3.303312  T = 103.00  MES = 8.00 Iteraciones hechas con Newton Raphson: 3
U104 = 3.046472  T = 104.00  MES = 9.00 Iteraciones hechas con Newton Raphson: 3
U105 = 2.828010  T = 105.00  MES = 10.00 Iteraciones hechas con Newton Raphson: 3
U106 = 2.641874  T = 106.00  MES = 11.00 Iteraciones hechas con Newton Raphson: 3
U107 = 2.483073  T = 107.00  MES = 12.00 Iteraciones hechas con Newton Raphson: 3
Año: 10
U108 = 2.722455  T = 108.00  MES = 1.00 Iteraciones hechas con Newton Raphson: 3
U109 = 2.570256  T = 109.00  MES = 2.00 Iteraciones hechas con Newton Raphson: 3
U110 = 2.442049  T = 110.00  MES = 3.00 Iteraciones hechas con Newton Raphson: 3
U111 = 2.333951  T = 111.00  MES = 4.00 Iteraciones hechas con Newton Raphson: 3
U112 = 2.242654  T = 112.00  MES = 5.00 Iteraciones hechas con Newton Raphson: 3
U113 = 2.165425  T = 113.00  MES = 6.00 Iteraciones hechas con Newton Raphson: 3
U114 = 3.605469  T = 114.00  MES = 7.00 Iteraciones hechas con Newton Raphson: 3
U115 = 3.301722  T = 115.00  MES = 8.00 Iteraciones hechas con Newton Raphson: 3
U116 = 3.044131  T = 116.00  MES = 9.00 Iteraciones hechas con Newton Raphson: 3
U117 = 2.825167  T = 117.00  MES = 10.00 Iteraciones hechas con Newton Raphson: 3
U118 = 2.638713  T = 118.00  MES = 11.00 Iteraciones hechas con Newton Raphson: 3
U119 = 2.479728  T = 119.00  MES = 12.00 Iteraciones hechas con Newton Raphson: 3
Año: 11
U120 = 2.720094  T = 120.00  MES = 1.00 Iteraciones hechas con Newton Raphson: 3
U121 = 2.566654  T = 121.00  MES = 2.00 Iteraciones hechas con Newton Raphson: 3
U122 = 2.437652  T = 122.00  MES = 3.00 Iteraciones hechas con Newton Raphson: 3
U123 = 2.329090  T = 123.00  MES = 4.00 Iteraciones hechas con Newton Raphson: 3
U124 = 2.237562  T = 124.00  MES = 5.00 Iteraciones hechas con Newton Raphson: 3
U125 = 2.160264  T = 125.00  MES = 6.00 Iteraciones hechas con Newton Raphson: 3
U126 = 3.604982  T = 126.00  MES = 7.00 Iteraciones hechas con Newton Raphson: 3
U127 = 3.300135  T = 127.00  MES = 8.00 Iteraciones hechas con Newton Raphson: 3
U128 = 3.041789  T = 128.00  MES = 9.00 Iteraciones hechas con Newton Raphson: 3
U129 = 2.822320  T = 129.00  MES = 10.00 Iteraciones hechas con Newton Raphson: 3
U130 = 2.635546  T = 130.00  MES = 11.00 Iteraciones hechas con Newton Raphson: 3
U131 = 2.476377  T = 131.00  MES = 12.00 Iteraciones hechas con Newton Raphson: 3
Año: 12
U132 = 2.717738  T = 132.00  MES = 1.00 Iteraciones hechas con Newton Raphson: 3
U133 = 2.563042  T = 133.00  MES = 2.00 Iteraciones hechas con Newton Raphson: 3
U134 = 2.433239  T = 134.00  MES = 3.00 Iteraciones hechas con Newton Raphson: 3
U135 = 2.324210  T = 135.00  MES = 4.00 Iteraciones hechas con Newton Raphson: 3
U136 = 2.232452  T = 136.00  MES = 5.00 Iteraciones hechas con Newton Raphson: 3
U137 = 2.155086  T = 137.00  MES = 6.00 Iteraciones hechas con Newton Raphson: 3
U138 = 3.604507  T = 138.00  MES = 7.00 Iteraciones hechas con Newton Raphson: 3
U139 = 3.298553  T = 139.00  MES = 8.00 Iteraciones hechas con Newton Raphson: 3
U140 = 3.039445  T = 140.00  MES = 9.00 Iteraciones hechas con Newton Raphson: 3
U141 = 2.819470  T = 141.00  MES = 10.00 Iteraciones hechas con Newton Raphson: 3
U142 = 2.632375  T = 142.00  MES = 11.00 Iteraciones hechas con Newton Raphson: 3
U143 = 2.473021  T = 143.00  MES = 12.00 Iteraciones hechas con Newton Raphson: 3
Año: 13
U144 = 2.715387  T = 144.00  MES = 1.00 Iteraciones hechas con Newton Raphson: 3
U145 = 2.559419  T = 145.00  MES = 2.00 Iteraciones hechas con Newton Raphson: 3
U146 = 2.428807  T = 146.00  MES = 3.00 Iteraciones hechas con Newton Raphson: 3
U147 = 2.319309  T = 147.00  MES = 4.00 Iteraciones hechas con Newton Raphson: 3
U148 = 2.227320  T = 148.00  MES = 5.00 Iteraciones hechas con Newton Raphson: 3
U149 = 2.149888  T = 149.00  MES = 6.00 Iteraciones hechas con Newton Raphson: 3
U150 = 3.604043  T = 150.00  MES = 7.00 Iteraciones hechas con Newton Raphson: 3
U151 = 3.296973  T = 151.00  MES = 8.00 Iteraciones hechas con Newton Raphson: 3
U152 = 3.037101  T = 152.00  MES = 9.00 Iteraciones hechas con Newton Raphson: 3
U153 = 2.816616  T = 153.00  MES = 10.00 Iteraciones hechas con Newton Raphson: 3
U154 = 2.629198  T = 154.00  MES = 11.00 Iteraciones hechas con Newton Raphson: 3
U155 = 2.469660  T = 155.00  MES = 12.00 Iteraciones hechas con Newton Raphson: 3
Año: 14
U156 = 2.713042  T = 156.00  MES = 1.00 Iteraciones hechas con Newton Raphson: 3
U157 = 2.555788  T = 157.00  MES = 2.00 Iteraciones hechas con Newton Raphson: 3
U158 = 2.424360  T = 158.00  MES = 3.00 Iteraciones hechas con Newton Raphson: 3
U159 = 2.314390  T = 159.00  MES = 4.00 Iteraciones hechas con Newton Raphson: 3
U160 = 2.222170  T = 160.00  MES = 5.00 Iteraciones hechas con Newton Raphson: 3
U161 = 2.144672  T = 161.00  MES = 6.00 Iteraciones hechas con Newton Raphson: 3
U162 = 3.603593  T = 162.00  MES = 7.00 Iteraciones hechas con Newton Raphson: 3
U163 = 3.295399  T = 163.00  MES = 8.00 Iteraciones hechas con Newton Raphson: 3
